#NCBI_GeneID	Symbol	Current_MANE_Select_RefSeq	Current_MANE_Select_Ensembl	Current_MANE_Version	Old_MANE_Select_RefSeq	Old_MANE_Select_Ensembl	Old_MANE_Version	Update_Affects_CDS
7718	ZNF165	NM_001376491.1	ENST00000683778.1	1.4	NM_003447.4	ENST00000377325.2	0.92	No
8192	CLPP	NM_006012.4	ENST00000245816.11	1.4	NM_006012.3	ENST00000245816.10	0.5	No
8214	DGCR6	NM_005675.6	ENST00000331444.12	1.4	NM_005675.5	ENST00000331444.11	0.6	No
8409	UXT	NM_004182.4	ENST00000333119.8	1.4	NM_153477.3	ENST00000335890.3	1.0	Yes
8528	DDO	NM_001372108.2	ENST00000368924.9	1.4	NM_003649.3	ENST00000368924.8	0.6	Yes
8601	RGS20	NM_003702.5	ENST00000276500.5	1.4	NM_170587.4	ENST00000297313.8	1.2	Yes
8900	CCNA1	NM_001413923.1	ENST00000255465.8	1.4	NM_003914.4	ENST00000255465.7	1.0	Yes
9077	DIRAS3	NM_004675.5	ENST00000646789.1	1.4	NM_004675.4	ENST00000370981.3	0.93	No
9170	LPAR2	NM_001395660.1	ENST00000407877.8	1.4	NM_004720.7	ENST00000407877.8	0.95	Yes
9560	CCL4L2	NM_001291468.2	ENST00000620576.5	1.4	NM_001291475.2	ENST00000617405.5	1.2	Yes
9732	DOCK4	NM_001363540.2	ENST00000428084.6	1.4	NM_014705.4	ENST00000437633.6	0.5	Yes
10000	AKT3	NM_005465.7	ENST00000673466.1	1.4	NM_005465.5	ENST00000263826.10	0.5	No
10046	MAMLD1	NM_005491.5	ENST00000370401.7	1.4	NM_001177465.3	ENST00000432680.7	0.92	Yes
10152	ABI2	NM_001375670.1	ENST00000261018.12	1.4	NM_001282925.2	ENST00000295851.10	0.7	Yes
10495	ENOX2	NM_006375.4	ENST00000394363.6	1.4	NM_182314.3	ENST00000338144.8	0.94	Yes
11278	KLF12	NM_001400136.1	ENST00000703967.1	1.4	NM_007249.5	ENST00000377669.7	0.95	No
23216	TBC1D1	NM_001396959.1	ENST00000698857.1	1.4	NM_015173.4	ENST00000261439.9	0.95	Yes
23269	MGA	NM_001400225.1	ENST00000703841.1	1.4	NM_001164273.2	ENST00000219905.13	0.95	Yes
23305	ACSL6	NM_001009185.3	ENST00000651883.2	1.4	NM_015256.4	ENST00000651356.1	0.7	Yes
23635	SSBP2	NM_001256732.3	ENST00000615665.5	1.4	NM_012446.5	ENST00000320672.9	0.95	Yes
23683	PRKD3	NM_005813.6	ENST00000234179.8	1.4	NM_005813.5	ENST00000234179.7	0.7	No
25854	FAM149A	NM_001395294.1	ENST00000706927.1	1.4	NM_001367768.3	ENST00000389354.7	0.95	Yes
27077	B9D1	NM_015681.6	ENST00000261499.11	1.4	NM_015681.5	ENST00000261499.10	0.93	No
27086	FOXP1	NM_001349338.3	ENST00000649528.3	1.4	NM_032682.6	ENST00000318789.10	0.9	No
27177	IL36B	NM_173178.3	ENST00000327407.2	1.4	NM_014438.5	ENST00000259213.9	1.2	Yes
29058	TMEM230	NM_001009925.2	ENST00000202834.12	1.4	NM_001009923.2	ENST00000342308.10	1.2	Yes
51000	SLC35B3	NM_001370479.2	ENST00000710437.1	1.4	NM_001370476.2	ENST00000644923.2	1.0	Yes
51206	GP6	NM_016363.5	ENST00000417454.5	1.4	NM_001083899.2	ENST00000310373.7	1.2	Yes
53405	CLIC5	NM_016929.5	ENST00000339561.12	1.4	NM_001114086.2	ENST00000185206.12	0.5	Yes
54865	GPATCH4	NM_001396855.1	ENST00000710324.2	1.4	NM_182679.3	ENST00000368232.9	0.95	Yes
55715	DOK4	NM_018110.5	ENST00000340099.10	1.4	NM_018110.4	ENST00000340099.9	0.5	No
57472	CNOT6	NM_001370472.1	ENST00000261951.9	1.4	NM_001303241.2	ENST00000393356.6	0.5	No
58191	CXCL16	NM_001386809.1	ENST00000293778.12	1.4	NM_022059.4	ENST00000293778.11	0.7	Yes
60506	NYX	NM_001378477.3	ENST00000378220.3	1.4	NM_001378477.1	ENST00000378220.2	0.93	Yes
64180	DPEP3	NM_001370198.1	ENST00000268793.6	1.4	NM_022357.4	ENST00000268793.5	0.5	Yes
64427	TTC31	NM_022492.6	ENST00000233623.11	1.4	NM_022492.5	ENST00000233623.10	0.7	No
79008	SLX1B	NM_024044.5	ENST00000330181.10	1.4	NM_024044.4	ENST00000330181.9	0.95	No
79842	ZBTB3	NM_001370809.1	ENST00000394807.5	1.4	NM_024784.4	ENST00000394807.4	0.6	Yes
79876	UBA5	NM_024818.6	ENST00000356232.10	1.4	NM_024818.5	ENST00000356232.9	0.9	No
79879	CCDC134	NM_024821.5	ENST00000255784.6	1.4	NM_024821.4	ENST00000255784.5	0.9	No
79969	ATAT1	NM_001413067.1	ENST00000376485.9	1.4	NM_001031722.4	ENST00000330083.6	1.0	Yes
83876	MRO	NM_031939.6	ENST00000398439.8	1.4	NM_031939.4	ENST00000398439.8	0.5	No
84842	HPDL	NM_032756.4	ENST00000334815.6	1.4	NM_032756.3	ENST00000334815.5	0.92	No
91050	CCDC149	NM_001395273.1	ENST00000635206.3	1.4	NM_001330643.2	ENST00000635206.2	0.95	Yes
91612	CHURC1	NM_001386928.1	ENST00000549115.7	1.4	NM_001204063.2	ENST00000549115.6	0.92	Yes
112812	FDX2	NM_001397406.1	ENST00000393708.3	1.4	NM_001031734.4	ENST00000393708.3	0.95	Yes
113622	ADPRHL1	NM_001394807.1	ENST00000612156.3	1.4	NM_138430.5	ENST00000375418.8	0.94	Yes
123591	TMEM266	NM_152335.5	ENST00000388942.9	1.4	NM_152335.3	ENST00000388942.8	1.0	No
133308	SLC9B2	NM_178833.7	ENST00000394785.9	1.4	NM_178833.6	ENST00000394785.8	0.5	No
135927	LLCFC1	NM_001382496.1	ENST00000409607.5	1.4	NM_178829.5	ENST00000409607.4	0.9	Yes
144423	GLT1D1	NM_001366886.1	ENST00000442111.7	1.4	NM_144669.3	ENST00000281703.11	1.0	Yes
148398	SAMD11	NM_001385641.1	ENST00000616016.5	1.4	NM_152486.4	ENST00000342066.8	0.91	Yes
205251	MTLN	NM_001384134.1	ENST00000611969.5	1.4	NM_001355251.2	ENST00000414416.2	0.9	Yes
254783	OR6C74	NM_001005490.2	ENST00000343399.5	1.4	NM_001005490.1	ENST00000343399.4	0.93	No
255220	TXNDC8	NM_001424031.1	ENST00000374511.8	1.4	NM_001286946.2	ENST00000423740.7	1.2	Yes
256815	C10orf67	NM_001371909.1	ENST00000636213.3	1.4	NM_001365862.2	ENST00000636213.2	0.6	Yes
257068	PLCXD2	NM_001413064.1	ENST00000636933.2	1.4	NM_001185106.1	ENST00000477665.2	1.0	Yes
286436	H2BW2	NM_001388464.1	ENST00000675318.3	1.4	NM_001377073.1	ENST00000675318.2	0.92	Yes
337968	KRTAP6-3	NM_001433434.1	ENST00000391624.2	1.4	NM_181605.4	ENST00000391624.1	1.3	Yes
344838	PAQR9	NM_198504.4	ENST00000340634.6	1.4	NM_198504.3	ENST00000340634.5	0.7	No
349565	NMNAT3	NM_001401600.1	ENST00000704800.1	1.4	NM_001320510.2	ENST00000643695.2	1.0	Yes
374986	MIGA1	NM_001416120.1	ENST00000370791.9	1.4	NM_198549.4	ENST00000370791.8	1.0	Yes
391712	TRIM61	NM_001414904.1	ENST00000710271.1	1.4	NM_001012414.3	ENST00000329314.6	1.0	Yes
400831	C20orf202	NM_001394958.1	ENST00000400633.3	1.4	NM_001009612.3	ENST00000400633.2	0.94	Yes
402682	UFSP1	NM_001430944.2	ENST00000672365.3	1.4	NM_001015072.4	ENST00000388761.4	1.3	Yes
442590	SPDYE5	NM_001306141.4	ENST00000625065.4	1.4	NM_001306141.3	ENST00000624640.2	0.94	No
474383	F8A2	NM_001007523.2	ENST00000369505.5	1.4	NM_001007523.1	ENST00000369505.4	0.92	No
643909	SPDYE9	NM_001382554.3	ENST00000575125.6	1.4	NM_001382554.2	ENST00000575125.6	0.94	No
653361	NCF1	NM_000265.7	ENST00000289473.11	1.4	NM_000265.6	ENST00000289473.10	0.93	No
653505	PPIAL4A	NM_001143883.4	ENST00000577856.3	1.4	NM_001143883.3	ENST00000577856.2	0.94	No
727866	FAM156B	NM_001321178.3	ENST00000416841.8	1.4	NM_001321178.2	ENST00000416841.7	0.93	No
728945	PPIAL4F	NM_001164262.3	ENST00000581138.4	1.4	NM_001164262.2	ENST00000581138.3	0.94	No
729431	GAGE12E	NM_001098418.3	ENST00000381698.5	1.4	NM_001098418.2	ENST00000381698.4	0.93	No
730262	PPIAL4E	NM_001144032.3	ENST00000581164.2	1.4	NM_001144032.2	ENST00000581164.1	0.94	No
100507588	TGFBR3L	NM_001419781.1	ENST00000713907.1	1.4	NM_001195259.2	ENST00000565886.2	1.2	Yes
100996746	SPDYE11	NM_001351349.3	ENST00000340073.9	1.4	NM_001351349.2	ENST00000340073.9	0.94	No
102723849	SPDYE17	NM_001351351.3	ENST00000671986.3	1.4	NM_001351351.2	ENST00000671986.2	0.94	No
109703458	HTD2	NM_001348712.2	ENST00000461393.7	1.4	NM_001348712.1	ENST00000461393.6	0.9	No
114841037	CIMIP3	NM_001384994.1	ENST00000623004.2	1.4	NM_001370581.1	ENST00000372963.3	0.91	Yes
