isoform,structural_category
ONT1.10013.82,ISM
ONT1.10013.83,NIC
ONT1.10013.85,FSM
ONT1.10013.89,FSM
ONT1.10013.92,ISM
ONT1.10013.98,FSM
ONT1.10038.102,FSM
ONT1.10038.108,NNC
ONT1.10038.122,NNC
ONT1.10038.138,FSM
ONT1.10038.167,FSM
ONT1.10038.225,ISM
ONT1.10038.230,ISM
ONT1.10038.59,FSM
ONT1.10038.61,FSM
ONT1.10038.62,NNC
ONT1.10038.63,FSM
ONT1.10038.65,FSM
ONT1.10038.67,FSM
ONT1.10038.68,FSM
ONT1.10038.70,FSM
ONT1.10038.74,FSM
ONT1.10038.79,NNC
ONT1.10038.86,FSM
ONT1.10038.90,FSM
ONT1.10038.92,FSM
ONT1.1056.15,NNC
ONT1.10006.417,FSM
ONT1.10006.419,FSM
ONT1.10006.420,FSM
ONT1.10006.422,FSM
ONT1.10006.424,FSM
ONT1.10006.427,FSM
ONT1.10006.432,FSM
ONT1.10006.900,NNC
ONT1.10011.1000,NNC
ONT1.1058.10488,NNC
ONT1.1058.10556,NNC
ONT1.1058.10691,FSM
ONT1.1058.10757,FSM
ONT1.1058.10775,FSM
ONT1.1058.10801,FSM
ONT1.1058.10887,NIC
ONT1.1058.10889,FSM
ONT1.1058.10891,NNC
ONT1.1058.10892,NNC
ONT1.1058.10897,ISM
ONT1.1058.10901,FSM
ONT1.1058.10915,FSM
ONT1.1058.10943,NNC
ONT1.1058.11188,ISM
ONT1.1058.11206,ISM
ONT1.1058.11208,ISM
ONT1.1058.12,ISM
ONT1.1058.135,FSM
ONT1.1058.137,FSM
ONT1.1058.14,ISM
ONT1.1058.143,ISM
ONT1.1058.152,ISM
ONT1.1058.1599,ISM
ONT1.1058.16,NNC
ONT1.1058.1601,ISM
ONT1.1058.1605,FSM
ONT1.1058.1607,ISM
ONT1.1058.1613,ISM
ONT1.1058.1614,ISM
ONT1.1058.1617,ISM
ONT1.1058.1621,NNC
ONT1.1058.1623,ISM
ONT1.1058.1625,NNC
ONT1.1058.1626,ISM
ONT1.1058.1644,ISM
ONT1.1058.1649,NNC
ONT1.1058.1660,ISM
ONT1.1058.17,NIC
ONT1.1058.18,NNC
ONT1.1058.19,ISM
ONT1.1058.2,NNC
ONT1.1058.2288,NIC
ONT1.1058.2298,ISM
ONT1.1058.2315,ISM
ONT1.1058.2335,ISM
ONT1.1058.2337,NNC
ONT1.1058.4,NNC
ONT1.1058.42,NNC
ONT1.1058.440,FSM
ONT1.1058.441,NNC
ONT1.1058.447,ISM
ONT1.1058.451,NNC
ONT1.1058.452,NNC
ONT1.1058.463,NNC
ONT1.1058.466,NNC
ONT1.1058.467,NNC
ONT1.1058.469,ISM
ONT1.1058.4763,ISM
ONT1.1058.480,NNC
ONT1.1058.497,FSM
ONT1.1058.513,NNC
ONT1.1058.515,NNC
ONT1.1058.527,NNC
ONT1.1058.536,NNC
ONT1.1058.542,NNC
ONT1.1058.56,NNC
ONT1.1058.6,ISM
ONT1.1058.6800,ISM
ONT1.1058.6814,ISM
ONT1.1058.6815,ISM
ONT1.1058.6829,ISM
ONT1.1058.6881,FSM
ONT1.1058.6919,ISM
ONT1.1058.6920,ISM
ONT1.1058.6922,ISM
ONT1.1058.6983,ISM
ONT1.1058.6984,ISM
ONT1.1058.6985,ISM
ONT1.1058.6986,ISM
ONT1.1058.6987,FSM
ONT1.1058.6988,ISM
ONT1.1058.6989,ISM
ONT1.1058.70,NNC
ONT1.1058.7003,FSM
ONT1.1058.7004,ISM
ONT1.1058.7123,ISM
ONT1.1058.7132,ISM
ONT1.1058.7148,ISM
ONT1.1058.8,ISM
ONT1.1058.812,NNC
ONT1.1058.817,NNC
ONT1.1058.8337,FSM
ONT1.1058.8339,ISM
ONT1.1058.8340,ISM
ONT1.1058.8344,NIC
ONT1.1058.8345,FSM
ONT1.1058.8347,FSM
ONT1.1058.8348,NNC
ONT1.1058.8349,NNC
ONT1.1058.8350,ISM
ONT1.1058.8355,NNC
ONT1.1058.8360,FSM
ONT1.1058.8366,ISM
ONT1.1058.8371,NIC
ONT1.1058.8372,NNC
ONT1.1058.8377,NIC
ONT1.1058.8394,ISM
ONT1.1058.8399,ISM
ONT1.1058.8476,FSM
ONT1.1058.8527,FSM
ONT1.1058.9,NNC
ONT1.1056.16,ISM
ONT1.1056.25,NNC
ONT1.1056.27,NNC
ONT1.1056.4,NNC
ONT1.1058.1,ISM
ONT1.1058.10,ISM
ONT1.1058.10353,NNC
ONT1.1058.10354,NNC
ONT1.1058.10364,NNC
ONT1.1063.5880,FSM
ONT1.1063.5885,FSM
ONT1.1063.5893,NIC
ONT1.1063.5896,NNC
ONT1.1063.5908,NIC
ONT1.1063.6010,FSM
ONT1.1063.6057,ISM
ONT1.1063.7290,ISM
ONT1.1063.7292,ISM
ONT1.1063.7316,ISM
ONT1.1063.7583,ISM
ONT1.1063.7785,ISM
ONT1.1063.7834,ISM
ONT1.1063.7917,ISM
ONT1.1063.7986,ISM
ONT1.1063.8696,FSM
ONT1.1063.8698,NNC
ONT1.1063.8699,NNC
ONT1.1063.8701,NNC
ONT1.1063.8706,NNC
ONT1.1063.8852,NNC
ONT1.1063.8992,ISM
ONT1.1063.9002,ISM
ONT1.1063.9006,ISM
ONT1.1063.9026,ISM
ONT1.1063.9035,ISM
ONT1.1063.9047,NNC
ONT1.1063.9068,ISM
ONT1.1063.9102,ISM
ONT1.1063.9110,ISM
